Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
Ergodox,split ergo,,,76,76,https://www.ergodox.io,ErgoDox-original-min.png,
Ergodox infinity,split ergo,,,76,76,https://input.club/devices/infinity-ergodox/,ErgoDox_Infinity.jpg,
ErgoDox EZ,split ergo,,,76,76,https://ergodox-ez.com,Ergodox_EZ.jpg,
Ergodone,split ergo,,,76,76,https://kbdfans.cn/collections/pcb/products/ergodone-keyboard-pcb-1pcs-free-shipping,Ergodone.jpg,
Georgi,split ergo,,,30,30,https://www.gboards.ca/,Georgi.jpg,
Gergo,split ergo,,,50,50,https://www.gboards.ca/,Gergo2.jpg,
Redox,split ergo,,,70,70,https://github.com/mattdibi/redox-keyboard,Redox.jpg,
Minidox,split ergo,,,36,36,https://github.com/That-Canadian/MiniDox_PCB,MiniDox.jpg,
Ergotravel,split ergo,,,54,54,https://github.com/jpconstantineau/ErgoTravel,Ergotravel.jpg,
HeliDox,split ergo,,,42,42,https://github.com/foostan/crkbd/,HeliDox.jpg,
Zen2,split ergo plans,,,62,62,https://www.rgbkb.net/products/zen-keyboard,Zen.jpg,
Sol 2,split ergo,display,,68,68,https://www.rgbkb.net/collections/sol-2,Sol.jpg,
Kyria,split ergo encoder,display,,48,48,https://splitkb.com/products/kyria-kit-rev1-0,Kyria.jpg,
Iris,split ergo,,,56,56,https://keeb.io/products/iris-keyboard-split-ergonomic-keyboard,Iris.jpg,
Fortitude60,split ergo,,,60,60,https://github.com/Pekaso/fortitude60,Fortitude60-ikiriwhite.jpg,
Mitosis,split ergo,,,46,46,https://github.com/reversebias/mitosis-hardware,Mitosis.jpg,
Atreus,single ergo,,,42,42,https://github.com/technomancy/atreus,Atreus.jpg,
Atreus62,single ergo,,,62,62,https://github.com/profet23/atreus62/,Atreus62.jpg,
Atreis,single ergo,,,56,56,https://github.com/dekonnection/atreis,Atreis.jpg,
Pteron,single ergo,,,56,56,https://github.com/FSund/pteron-keyboard,Pteron.jpg,
CatBoard ][,single ergo,,,60,60,http://catboard.klava.org/,catboard.jpg,
Keyboard.io Model01,split ergo,,massproduced,64,64,https://shop.keyboard.io/,Keyboardio_Model01.jpg,
ErgoDash,split ergo,,,78,78,https://github.com/omkbd/ErgoDash,Ergodash.jpg,
Lily58,split ergo,display,,58,58,https://github.com/kata0510/Lily58,lily58_keyboard.jpg,
X-Bows,single ergo,,massproduced,86,86,http://www.x-bows.com/,xbows.jpg,
Interphase,split ergo,wireless,,66,66,https://github.com/Durburz/interphase,Interphase.jpg,
Sofle,split ergo encoder,display,,58,58,https://github.com/josefadamcik/SofleKeyboard,Sofle.jpg,
Xenon,split ergo,,,54,54,https://github.com/narinari/xenon-keyboard,Xenon.jpg,
Claw44,split ergo,,,44,44,https://github.com/yfuku/claw44,Claw44.jpg,
Corne,split ergo,display,,42,42,https://github.com/foostan/crkbd,Corne.jpg,
Elephant42,split ergo,,,42,42,https://github.com/illness072/elephant42,Elephant42.jpg,
Reviung41,single ergo,,,41,41,https://github.com/gtips/reviung,Reviung41.jpg,
Absolem,single ergo,,,36,36,https://zealot.hu/absolem/,Absolem.jpg,
Arch 36,split ergo,display,,36,36,https://github.com/obosob/arch-36-case,Arch36.jpg,
Gergoplex,split ergo,,,36,36,https://www.gboards.ca/product/gergoplex,Gergoplex.jpg,
Manta60,split ergo,,,68,68,https://github.com/KamoNanban/Manta60,Manta60.jpg,
Chimera Ergo,split ergo,,,52,52,https://github.com/GlenPickle/Chimera,ChimeraErgo.jpg,
Moonlander,split ergo,,massproduced,72,72,https://www.zsa.io/moonlander/,Moonlander.jpg,
