Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
Cherry ErgoPlus MX 5000,split single traditional,,unavailable,89,89,http://xahlee.info/kbd/Cherry_Ergoplus_keyboard.html,CherryErgoPlus.jpg,
Core Mechanics Project 0001,split traditional,,massproduced,90,90,https://core-mechanics.com/produkt/project-0001/,Core-Project-0001.png,
Dygma Raise,split single traditional,,massproduced,68,68,https://www.dygma.com/raise/,Dygma-Raise-Mechanical-Split-Keyboard_white.jpg,
Fourier 40,split single traditional,,source,45,45,https://keeb.io/collections/frontpage/products/fourier-40-split-staggered-keyboard,Fourier40.jpg,
Kinesis Freestyle Edge RGB,split traditional,,massproduced,99,99,https://gaming.kinesis-ergo.com/edge/,Freestyle-Edge-RGB.png,
Kinesis Freestyle Pro,split traditional,,massproduced,92,92,https://www.kinesis-ergo.com/shop/freestyle-pro/,KinesisFreestylePro.jpg,
Matias Ergo Pro,split traditional,,massproduced,77,77,https://matias.ca/ergopro/pc/,matias_ergo_pro.jpg,
Mistel Barocco,split single traditional,,massproduced,62,62,http://www.mistelkeyboard.com/keyboards/,MistelBarocco.jpg,
Quefrency Rev. 1,split single traditional,,kit,72,72,https://keeb.io/products/quefrency-60-65-split-staggered-keyboard,QuefrencyR1.jpg,
Quefrency Rev. 2,split single traditional,encoder,kit,83,83,https://keeb.io/collections/split-keyboard-parts/products/quefrency-rev-2-60-65-split-staggered-keyboard,QuefrencyR2.jpg,
R-Go Split,split single traditional,,massproduced,78,78,https://www.r-go-tools.com/products/ergonomic-keyboards/r-go-split/,R-Go.jpg,
Sinc,split single traditional,encoder,kit,100,100,https://keeb.io/products/sinc-split-staggered-75-keyboard,Sinc.jpg,
Koolertron Split,split traditional,,massproduced,89,89,http://www.koolertron.com/koolertron-programmable-split-mechanical-keyboard-with-cherry-mx-black-switch-all-89-keys-programmable-ergonomic-keypad-8-macro-keys-smkd62cherry-mx-black-switch-game-p-817.html,SmartYaoly092.jpg,
Ultimate Hacking Keyboard,split single traditional,display trackp,massproduced,63,63,https://ultimatehackingkeyboard.com,Ultimatehackingkeyboard.jpg,
VE.A,split single traditional,,unavailable,96,96,https://www.massdrop.com/buy/ve-a,VEA.jpg,
Wheatfield Split 75%,split single traditional,,assembled kit,96,96,https://www.aliexpress.com/item/33006060286.html,wheatfield_s75.jpg,
